PROCEDURE_CAT;PROCEDURE_SCHEM;PROCEDURE_NAME;COLUMN_NAME;COLUMN_TYPE;DATA_TYPE;TYPE_NAME;PRECISION;LENGTH;SCALE;RADIX;NULLABLE;REMARKS
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_end;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_serv_in;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;insert_m301_zreport_t;1;@zrep_summ_serv_out;1;2;numeric;18;9;2;0;2;null
FLC_RU;dbo;load_members_by_phone;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;load_members_by_phone;1;@phone;1;12;varchar;255;255;0;0;2;null
FLC_RU;dbo;load_possible_terrorists2;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;load_possible_terrorists;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;myproc;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;myproc;1;@myprice;1;3;money;19;8;4;0;2;null
FLC_RU;dbo;nv_call_stat3;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_call_stat3;1;@start_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_call_stat3;1;@end_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_call_stat3;1;@task_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_letter_centre;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_letter_centre;1;@start_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_letter_centre;1;@end_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_letter_centre;1;@task_id;1;4;int;10;4;0;0;2;null
FLC_RU;dbo;nv_list_charges;1;RETURN_VALUE;5;4;int;10;4;0;0;0;procedureColumnReturn
FLC_RU;dbo;nv_list_charges;1;@from_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_list_charges;1;@to_date;1;93;datetime;23;8;3;0;2;null
FLC_RU;dbo;nv_list_charges;1;@task_id;1;4;int;10;4;0;0;2;null
